"","x"
"277",5.27639911522256e-09
"278",1.55898318359506e-08
"279",4.86215523204555e-09
"280",1.81855760935655e-08
"281",1.42199184037749e-08
"282",4.22221862220984e-09
"283",1.35849910859498e-08
"284",6.26626509275554e-09
"285",4.85800825038849e-09
"286",6.69939542418605e-09
"287",4.03361074582455e-09
"288",4.62676541359736e-09
"289",3.80749639827461e-09
"290",4.54463534410864e-09
"291",7.601772183443e-08
"292",4.54315461710976e-09
"293",4.69802620479626e-09
"294",4.42402116996402e-09
"295",1.97513398280571e-08
"296",4.73440603377448e-09
"297",4.74075760433045e-09
"298",4.74923455118202e-09
"299",4.87009232148734e-09
"300",1.43035643415911e-08
"301",2.91648326320143e-08
"302",1.65749782864185e-08
"303",1.72325379509183e-08
"304",5.95778809972925e-09
"305",2.42866921582952e-08
"306",4.94641361678417e-09
"307",4.71298525914171e-09
"308",4.94427230293748e-09
"309",4.51280141465486e-09
"310",5.42483506616604e-08
"311",3.54889933658371e-09
"312",2.62843914663011e-08
"313",3.29774775870926e-09
"314",4.28388189599053e-09
"315",2.51103255638536e-09
"316",2.67840039111591e-08
"317",3.90136389113918e-08
"318",1.36247396540577e-08
"319",1.01883637345355e-08
"320",1.7442039698574e-08
"321",5.29056836347758e-08
"322",4.75286200915027e-09
"323",8.46876366443078e-08
"324",5.59373477752237e-09
"325",2.17979962106992e-09
"326",2.77685696156992e-09
"327",4.12854752371089e-09
"328",1.62148190980226e-08
"329",5.61941174277777e-08
"330",1.25749721743189e-08
"331",4.65006655045892e-09
"332",4.14492208891123e-09
"333",2.21630441886551e-08
"334",6.6975558598402e-08
"335",1.70819941681753e-08
"336",4.93675622310335e-09
"337",1.46910089059401e-08
"338",6.75717476262847e-08
"339",4.44042601215447e-09
"340",5.72814662193328e-08
"341",6.59977666548753e-09
"342",5.08963347249881e-09
"343",1.3037402651706e-08
"344",4.7088629377816e-08
"345",1.94425269690728e-08
"346",1.81736691440916e-08
"347",4.22691827292758e-09
"348",4.62215575303523e-09
"349",3.75757059626296e-08
"350",4.91600978470893e-09
"351",3.94544683072831e-09
"352",2.99411758581978e-09
"353",1.38701509517682e-08
"354",2.25541381076885e-09
"355",1.02466875110693e-08
"356",2.12215792753838e-09
"357",2.56106650793595e-08
"358",4.96908788083307e-08
"359",1.77438906954983e-08
"360",1.30761647578073e-08
"361",2.64121258490661e-08
"362",4.13745989552367e-08
"363",1.25714137954916e-08
"364",1.43750719464391e-08
"365",3.97885198001972e-09
"366",5.49992363632437e-09
"367",3.85999212514727e-09
"368",2.7485994707407e-09
"369",3.67154420304909e-09
"370",7.8970863732798e-08
"371",2.35462440916639e-09
"372",3.99059895206023e-08
"373",2.24240047430039e-09
"374",4.17230301708031e-09
"375",4.79766390164854e-09
"376",4.42788281982056e-09
"377",5.79552220848758e-09
"378",2.99598849075372e-09
"379",1.01121805767011e-08
"380",1.15300483905806e-08
"381",6.31528014996222e-08
"382",6.58679528703021e-09
"383",4.32982202974902e-09
"384",4.82916114721617e-09
"385",1.79088912079038e-08
"386",2.59070787902347e-09
"387",3.35539941563719e-09
"388",6.58095538544767e-09
"389",4.98379949663823e-08
"390",1.41951985581666e-08
"391",5.93130897966387e-09
"392",4.73306269126175e-09
"393",6.58329900204225e-08
"394",3.67315315593777e-09
"395",4.68149614718137e-09
"396",3.0864479237603e-08
"397",4.25526334319396e-09
"398",2.90684036048991e-09
"399",4.52806899826776e-09
"400",4.36676793473727e-09
"401",2.78558455729024e-08
"402",5.10318282025692e-09
"403",6.53500828449206e-09
"404",2.52193529491117e-08
"405",6.36229512701314e-09
"406",7.61565760506448e-09
"407",5.50679183098574e-08
"408",3.9326856608685e-09
"409",6.9062102607311e-09
"410",9.13208842404557e-09
"411",4.79401181342313e-09
"412",4.51748812783948e-09
"413",6.22871428953414e-09
"414",4.45113849866551e-09
"415",4.36933265823962e-09
"416",4.09603095383456e-09
"417",1.67333023806564e-08
"418",2.66505690002498e-09
"419",6.02905170425623e-09
"420",3.48338876004452e-08
"421",7.56418403835649e-09
"422",4.31751779958099e-09
"423",4.40236735236851e-09
"424",5.89928034505233e-08
"425",2.39990585026205e-09
"426",3.853986024533e-09
"427",2.41970026880492e-08
"428",5.70790543807298e-09
"429",1.65902840002855e-08
"430",4.68628135036803e-09
"431",2.2676158983675e-09
"432",2.53045808053882e-08
"433",3.21965872210984e-09
"434",1.04329277265106e-08
"435",4.36394633179225e-09
"436",4.4175819713784e-09
"437",2.67954387832316e-08
"438",9.638198982509e-08
"439",7.07834649635767e-08
"440",3.30149737979697e-09
"441",4.15829672238839e-08
"442",5.33495715384282e-08
"443",3.15944839496894e-09
"444",1.87352578673352e-08
"445",4.5765365460956e-08
"446",7.10529145472577e-08
"447",4.21635188569319e-09
"448",4.33848103490729e-09
"449",4.46036082311698e-09
"450",4.86841005796665e-09
"451",2.59395244101843e-08
"452",3.35761134830845e-08
"453",6.60084534438078e-09
"454",5.83502460182229e-09
"455",4.65555377536661e-09
"456",4.20896139484302e-09
"457",3.31964394757668e-08
"458",3.81120427129132e-08
"459",3.92000010582766e-09
"460",6.62830719144897e-08
"461",4.82270302098936e-09
"462",4.72701205061096e-08
"463",4.9116762330336e-09
"464",6.16588830625986e-09
"465",5.73883091707462e-09
"466",5.0985712931357e-09
"467",5.22811040388407e-08
"468",1.78583012639266e-08
"469",4.79425423536407e-09
"470",4.62787834778882e-09
"471",6.35462952054296e-09
"472",4.75189748488764e-08
"473",4.8635643809278e-09
"474",1.04281607243356e-08
"475",4.3748529881328e-08
"476",4.66129241485104e-09
"477",4.05140549111988e-09
"478",2.3733423581685e-09
"479",6.3655492902915e-08
"480",5.91972855833362e-08
"481",3.07941245657469e-09
"482",5.16224290267917e-09
"483",6.5667079056302e-08
"484",2.0374220320081e-08
"485",5.70839128527434e-09
"486",2.49361671230056e-08
"487",2.45912742250941e-09
"488",4.55661392985351e-09
"489",4.60551660641066e-09
"490",6.97898053660432e-09
"491",4.8429537236703e-09
"492",1.05237443773745e-08
"493",5.93327916548242e-09
"494",2.25732542591595e-08
"495",4.23070012964557e-08
"496",4.89510861305428e-09
"497",1.55742832706872e-08
"498",1.16532208955942e-08
"499",7.54131772670841e-08
"500",4.66050761973527e-09
"501",6.60045894812992e-08
"502",2.56212453933293e-08
"503",3.82813863153903e-08
"504",8.51685736518644e-09
"505",4.78809403737464e-08
"506",2.13517150352835e-08
"507",5.37481630538003e-08
"508",3.10546996287912e-08
"509",4.72313047394314e-09
"510",4.82736751855089e-09
"511",8.11654022320506e-09
"512",4.75773239449048e-09
"513",7.06569767433320e-09
"514",3.8664548413276e-09
"515",1.22459496592178e-08
"516",5.25033080734862e-08
"517",2.34826974430893e-09
"518",1.93269011453633e-08
"519",3.327883343462e-08
"520",1.33739326105292e-08
"521",2.17519615091024e-09
"522",5.12051698585956e-09
"523",5.39362562979773e-09
"524",5.18412182761639e-09
"525",1.05081201122611e-08
"526",4.57596612792299e-09
"527",1.30951766908454e-08
"528",6.23151656939797e-09
"529",1.91933870479549e-08
"530",3.77603623535182e-09
"531",5.79407308213386e-09
"532",5.05242362999823e-09
"533",6.75146781257104e-08
"534",9.81997528490427e-08
"535",6.7122555398276e-08
"536",7.19377195193697e-08
"537",2.68040619851564e-08
"538",3.27690937958618e-09
"539",3.42146483260389e-08
"540",6.19068526583613e-09
"541",1.45876970601368e-08
"542",4.61239447026524e-08
"543",1.61732020535303e-08
"544",5.15904225285683e-08
"545",6.14074915759293e-08
"546",2.65926310030192e-09
"547",2.8023224482239e-09
"548",1.86097390909356e-08
"549",2.3125024517717e-08
"550",4.04256783850578e-09
"551",3.6856558448773e-09
"552",4.38581421308914e-09
"553",4.13119983794034e-09
"554",1.98952707572114e-09
"555",4.18695054145114e-09
"556",4.45073244665555e-08
"557",1.03975137176415e-07
"558",1.48365100517497e-08
"559",3.68481045155396e-08
"560",4.62198981620903e-09
"561",2.65427231311972e-08
"562",4.00894264270227e-08
"563",9.26885633278936e-09
"564",1.50215450494386e-08
"565",4.06169411569349e-09
"566",3.94627584826469e-09
"567",6.37122553019864e-09
"568",2.86617641034916e-08
"569",1.04740499584703e-08
"570",2.3361024711009e-08
"571",5.36528414334164e-09
"572",4.61559135986026e-09
"573",4.76801502041766e-09
"574",3.38620461689856e-09
"575",4.66575392317354e-09
"576",5.8237162851857e-09
"577",5.0230497770425e-09
"578",3.34928251127359e-08
"579",5.91898697082063e-09
"580",1.66443284187342e-08
"581",8.93966653397719e-08
"582",2.21987772242404e-08
