size.time,mean.prob
250kmCurrent,6.62E-08
250kmCurrent,3.50E-08
250kmCurrent,6.24E-08
250kmCurrent,3.34E-08
250kmCurrent,5.60E-08
250kmCurrent,6.79E-08
250kmCurrent,6.20E-08
250kmCurrent,3.98E-08
250kmCurrent,5.19E-08
250kmCurrent,3.44E-08
250kmCurrent,4.81E-08
250kmCurrent,3.26E-08
250kmCurrent,3.59E-08
250kmCurrent,6.75E-08
250kmCurrent,3.81E-08
250kmCurrent,7.15E-08
250kmCurrent,4.18E-08
250kmCurrent,6.53E-08
250kmCurrent,3.21E-08
250kmCurrent,7.01E-08
250kmCurrent,7.26E-08
250kmCurrent,4.06E-08
250kmCurrent,7.15E-08
250kmCurrent,3.06E-08
250kmCurrent,4.72E-08
250kmCurrent,4.49E-08
250kmCurrent,5.05E-08
250kmCurrent,3.92E-08
250kmCurrent,3.37E-08
250kmCurrent,4.12E-08
250kmCurrent,6.57E-08
250kmCurrent,5.86E-08
250kmCurrent,6.46E-08
250kmCurrent,3.43E-08
250kmCurrent,2.57E-08
250kmCurrent,3.76E-08
250kmCurrent,5.72E-08
250kmCurrent,3.51E-08
250kmCurrent,3.68E-08
250kmCurrent,7.20E-08
250kmCurrent,6.66E-08
250kmCurrent,6.49E-08
250kmCurrent,7.00E-08
250kmCurrent,6.59E-08
250kmCurrent,6.57E-08
250kmCurrent,4.37E-08
250kmCurrent,2.04E-08
250kmCurrent,6.80E-08
