size.time,mean.prob
50kmCurrent,9.39E-08
50kmCurrent,8.29E-08
50kmCurrent,8.67E-08
50kmCurrent,1.12E-08
50kmCurrent,5.65E-08
50kmCurrent,9.14E-08
50kmCurrent,1.46E-08
50kmCurrent,1.03E-07
50kmCurrent,3.74E-08
50kmCurrent,9.02E-09
50kmCurrent,9.98E-08
50kmCurrent,9.10E-08
50kmCurrent,5.91E-08
50kmCurrent,9.77E-08
50kmCurrent,7.73E-08
50kmCurrent,3.41E-08
50kmCurrent,8.28E-08
50kmCurrent,1.03E-08
50kmCurrent,7.91E-08
50kmCurrent,8.66E-08
50kmCurrent,4.78E-08
50kmCurrent,9.39E-09
50kmCurrent,1.14E-08
50kmCurrent,5.23E-08
50kmCurrent,1.29E-08
50kmCurrent,9.63E-09
50kmCurrent,2.70E-08
50kmCurrent,1.21E-08
50kmCurrent,7.52E-08
50kmCurrent,1.07E-07
50kmCurrent,9.32E-09
50kmCurrent,9.25E-08
50kmCurrent,5.41E-08
50kmCurrent,1.05E-08
50kmCurrent,4.33E-08
50kmCurrent,4.40E-08
50kmCurrent,9.87E-08
50kmCurrent,1.33E-08
50kmCurrent,3.95E-08
50kmCurrent,2.30E-08
50kmCurrent,9.46E-09
50kmCurrent,9.25E-08
50kmCurrent,9.24E-09
50kmCurrent,7.07E-08
50kmCurrent,9.35E-08
50kmCurrent,8.02E-08
50kmCurrent,6.28E-08
50kmCurrent,7.50E-08
50kmCurrent,1.29E-08
50kmCurrent,7.49E-08
50kmCurrent,6.10E-08
50kmCurrent,4.06E-08
50kmCurrent,5.62E-08
50kmCurrent,9.47E-09
50kmCurrent,9.68E-09
50kmCurrent,9.74E-08
50kmCurrent,9.80E-09
50kmCurrent,9.38E-08
50kmCurrent,1.05E-08
50kmCurrent,8.47E-08
50kmCurrent,1.50E-08
50kmCurrent,8.85E-08
50kmCurrent,1.20E-08
50kmCurrent,1.04E-08
50kmCurrent,3.73E-08
50kmCurrent,6.62E-08
50kmCurrent,2.21E-08
50kmCurrent,7.64E-08
50kmCurrent,4.56E-08
50kmCurrent,1.71E-08
50kmCurrent,8.97E-09
50kmCurrent,1.37E-08
50kmCurrent,5.20E-08
50kmCurrent,2.87E-08
50kmCurrent,7.79E-08
50kmCurrent,7.13E-08
50kmCurrent,8.52E-08
50kmCurrent,5.97E-08
50kmCurrent,4.91E-08
50kmCurrent,2.75E-08
50kmCurrent,8.96E-09
50kmCurrent,9.23E-09
50kmCurrent,6.94E-08
50kmCurrent,3.37E-08
50kmCurrent,4.03E-08
50kmCurrent,2.16E-08
50kmCurrent,6.79E-08
50kmCurrent,1.21E-08
50kmCurrent,1.75E-08
50kmCurrent,8.69E-09
50kmCurrent,2.24E-08
50kmCurrent,9.02E-08
50kmCurrent,8.74E-09
50kmCurrent,8.11E-09
50kmCurrent,1.07E-08
50kmCurrent,5.39E-08
50kmCurrent,1.05E-08
50kmCurrent,9.16E-08
50kmCurrent,7.30E-08
50kmCurrent,7.39E-08
50kmCurrent,9.93E-09
50kmCurrent,1.06E-08
50kmCurrent,7.49E-08
50kmCurrent,1.89E-08
50kmCurrent,7.64E-08
50kmCurrent,1.06E-08
50kmCurrent,5.51E-08
50kmCurrent,8.84E-09
50kmCurrent,9.72E-08
50kmCurrent,6.99E-08
50kmCurrent,9.10E-08
50kmCurrent,2.77E-08
50kmCurrent,8.28E-09
50kmCurrent,8.91E-09
50kmCurrent,6.60E-08
50kmCurrent,5.53E-08
50kmCurrent,3.79E-08
50kmCurrent,5.52E-08
50kmCurrent,9.25E-08
50kmCurrent,7.80E-08
50kmCurrent,3.35E-08
50kmCurrent,3.94E-08
50kmCurrent,1.01E-07
50kmCurrent,1.05E-08
50kmCurrent,3.50E-08
50kmCurrent,6.70E-08
50kmCurrent,3.11E-08
50kmCurrent,6.04E-08
50kmCurrent,5.54E-08
50kmCurrent,6.02E-08
50kmCurrent,9.70E-09
50kmCurrent,4.29E-08
50kmCurrent,8.66E-09
50kmCurrent,5.54E-08
50kmCurrent,3.82E-08
50kmCurrent,3.32E-08
50kmCurrent,1.04E-08
50kmCurrent,7.29E-08
50kmCurrent,5.72E-08
50kmCurrent,2.42E-08
50kmCurrent,1.30E-08
50kmCurrent,9.91E-08
50kmCurrent,7.01E-08
50kmCurrent,1.29E-08
50kmCurrent,3.38E-08
50kmCurrent,7.36E-08
50kmCurrent,3.76E-08
50kmCurrent,5.36E-08
50kmCurrent,5.68E-08
50kmCurrent,8.83E-08
50kmCurrent,7.26E-08
50kmCurrent,1.41E-08
50kmCurrent,7.92E-08
50kmCurrent,8.56E-08
50kmCurrent,5.42E-08
50kmCurrent,8.15E-08
50kmCurrent,5.59E-08
50kmCurrent,2.59E-08
50kmCurrent,2.24E-08
50kmCurrent,6.53E-08
50kmCurrent,6.67E-08
50kmCurrent,7.50E-08
50kmCurrent,5.52E-08
50kmCurrent,1.01E-08
50kmCurrent,5.00E-08
50kmCurrent,9.23E-08
50kmCurrent,6.45E-08
50kmCurrent,6.90E-08
50kmCurrent,9.19E-08
50kmCurrent,9.13E-08
50kmCurrent,2.56E-08
50kmCurrent,9.07E-08
50kmCurrent,5.58E-08
50kmCurrent,1.21E-08
50kmCurrent,7.57E-08
50kmCurrent,8.11E-08
50kmCurrent,8.73E-08
50kmCurrent,3.27E-08
50kmCurrent,5.67E-08
50kmCurrent,5.70E-08
50kmCurrent,8.83E-08
50kmCurrent,8.90E-08
50kmCurrent,5.95E-08
50kmCurrent,7.11E-08
50kmCurrent,9.70E-09
50kmCurrent,4.97E-08
50kmCurrent,1.41E-08
50kmCurrent,7.99E-09
50kmCurrent,7.21E-08
50kmCurrent,9.89E-09
50kmCurrent,6.97E-08
50kmCurrent,1.31E-08
50kmCurrent,4.50E-08
50kmCurrent,5.55E-08
50kmCurrent,2.34E-08
50kmCurrent,8.52E-09
50kmCurrent,9.24E-08
50kmCurrent,1.29E-08
50kmCurrent,2.11E-08
50kmCurrent,1.03E-08
50kmCurrent,1.50E-08
50kmCurrent,6.93E-08
50kmCurrent,1.64E-08
50kmCurrent,9.31E-09
50kmCurrent,1.01E-08
50kmCurrent,1.98E-08
50kmCurrent,6.47E-08
50kmCurrent,1.16E-08
50kmCurrent,9.29E-09
50kmCurrent,5.97E-08
50kmCurrent,2.85E-08
50kmCurrent,8.68E-09
50kmCurrent,9.08E-09
50kmCurrent,3.11E-08
50kmCurrent,8.74E-09
50kmCurrent,8.79E-08
50kmCurrent,5.00E-08
50kmCurrent,1.83E-08
50kmCurrent,8.20E-08
50kmCurrent,8.93E-08
50kmCurrent,8.97E-08
50kmCurrent,1.07E-07
50kmCurrent,9.07E-09
50kmCurrent,4.52E-08
50kmCurrent,5.38E-08
50kmCurrent,4.01E-08
50kmCurrent,1.05E-08
50kmCurrent,1.37E-08
50kmCurrent,7.84E-08
50kmCurrent,4.17E-08
50kmCurrent,7.98E-08
50kmCurrent,9.55E-09
50kmCurrent,1.01E-08
50kmCurrent,8.59E-08
50kmCurrent,8.65E-09
50kmCurrent,1.01E-08
50kmCurrent,1.32E-08
50kmCurrent,5.70E-08
50kmCurrent,1.59E-08
50kmCurrent,7.11E-08
50kmCurrent,9.02E-08
50kmCurrent,7.17E-08
50kmCurrent,1.48E-08
50kmCurrent,2.91E-08
50kmCurrent,3.14E-08
50kmCurrent,1.42E-08
50kmCurrent,1.09E-08
50kmCurrent,4.85E-08
50kmCurrent,8.46E-08
50kmCurrent,5.15E-08
50kmCurrent,8.16E-09
50kmCurrent,5.11E-08
50kmCurrent,6.76E-08
50kmCurrent,8.11E-08
50kmCurrent,1.07E-08
50kmCurrent,9.46E-09
50kmCurrent,9.37E-09
50kmCurrent,8.19E-08
50kmCurrent,7.97E-08
50kmCurrent,8.52E-08
50kmCurrent,5.73E-08
50kmCurrent,4.46E-08
50kmCurrent,1.16E-08
50kmCurrent,8.99E-09
50kmCurrent,1.02E-07
50kmCurrent,9.76E-08
50kmCurrent,6.84E-08
50kmCurrent,8.37E-08
50kmCurrent,7.16E-08
50kmCurrent,5.11E-08
50kmCurrent,2.20E-08
50kmCurrent,1.15E-08
50kmCurrent,3.64E-08
50kmCurrent,9.09E-08
50kmCurrent,1.38E-08
50kmCurrent,6.74E-08
50kmCurrent,7.20E-08
50kmCurrent,7.63E-08
50kmCurrent,8.72E-08
50kmCurrent,6.35E-08
50kmCurrent,3.79E-08
50kmCurrent,7.41E-08
50kmCurrent,1.46E-08
50kmCurrent,8.45E-08
50kmCurrent,8.96E-09
50kmCurrent,6.66E-08
50kmCurrent,8.11E-09
50kmCurrent,6.06E-08
50kmCurrent,9.35E-09
50kmCurrent,7.75E-08
50kmCurrent,4.47E-08
50kmCurrent,1.16E-08
50kmCurrent,7.11E-08
50kmCurrent,1.08E-08
50kmCurrent,8.45E-09
50kmCurrent,5.69E-08
50kmCurrent,9.75E-09
50kmCurrent,4.99E-08
50kmCurrent,9.34E-09
50kmCurrent,1.05E-08
50kmCurrent,8.50E-09
50kmCurrent,7.56E-08
50kmCurrent,1.09E-08
50kmCurrent,2.23E-08
50kmCurrent,1.77E-08
50kmCurrent,8.92E-08
50kmCurrent,2.67E-08
50kmCurrent,1.22E-08
50kmCurrent,1.13E-08
50kmCurrent,7.16E-08
50kmCurrent,9.91E-09
50kmCurrent,8.90E-08
50kmCurrent,5.74E-08
50kmCurrent,1.51E-08
50kmCurrent,2.11E-08
50kmCurrent,1.30E-08
50kmCurrent,8.03E-09
50kmCurrent,8.13E-09
50kmCurrent,7.64E-08
50kmCurrent,3.36E-08
50kmCurrent,9.13E-08
50kmCurrent,8.62E-08
50kmCurrent,1.00E-08
50kmCurrent,7.70E-08
50kmCurrent,1.30E-08
50kmCurrent,1.99E-08
50kmCurrent,6.97E-08
50kmCurrent,7.08E-08
50kmCurrent,7.50E-08
50kmCurrent,9.27E-09
50kmCurrent,6.14E-08
50kmCurrent,9.12E-08
50kmCurrent,8.82E-08
50kmCurrent,9.66E-09
50kmCurrent,6.00E-08
50kmCurrent,1.84E-08
50kmCurrent,5.49E-08
50kmCurrent,1.16E-08
50kmCurrent,4.78E-08
50kmCurrent,6.30E-08
50kmCurrent,2.46E-08
50kmCurrent,3.72E-08
50kmCurrent,2.93E-08
50kmCurrent,1.34E-08
50kmCurrent,9.02E-09
50kmCurrent,2.29E-08
50kmCurrent,7.28E-08
50kmCurrent,6.49E-08
50kmCurrent,8.35E-08
50kmCurrent,1.33E-08
50kmCurrent,9.35E-09
50kmCurrent,2.37E-08
50kmCurrent,4.31E-08
50kmCurrent,4.05E-08
50kmCurrent,1.16E-08
50kmCurrent,6.09E-08
50kmCurrent,5.72E-08
50kmCurrent,5.52E-08
50kmCurrent,6.35E-08
50kmCurrent,6.40E-08
50kmCurrent,5.72E-08
50kmCurrent,8.90E-08
50kmCurrent,8.66E-08
50kmCurrent,6.87E-08
50kmCurrent,9.52E-09
50kmCurrent,6.90E-08
